c Вес дерева 32431.0, самое длинное ребро = 721
p edge 512
e 71 160
e 71 155
e 71 494
e 72 108
e 72 77
e 72 509
e 73 248
e 73 291
e 73 253
e 74 215
e 74 375
e 74 148
e 75 325
e 75 469
e 75 498
e 76 181
e 76 135
e 76 109
e 77 294
e 77 111
e 78 491
e 78 463
e 78 326
e 79 170
e 79 497
e 79 475
e 80 325
e 80 498
e 80 207
e 81 186
e 81 418
e 82 331
e 82 344
e 82 436
e 83 322
e 83 114
e 83 408
e 84 211
e 84 467
e 84 354
e 85 109
e 85 281
e 85 271
e 86 250
e 86 126
e 87 97
e 87 432
e 87 347
e 88 427
e 88 417
e 88 424
e 89 137
e 89 482
e 89 144
e 90 374
e 90 136
e 90 495

e 92 464
e 92 259
e 92 311
e 93 335
e 93 295
e 94 159
e 94 141
e 94 169
e 95 347
e 95 188
e 95 182
e 96 123
e 96 471
e 96 309
e 97 436
e 98 512
e 98 497
e 98 160
e 99 275
e 99 129
e 99 239
e 100 480
e 100 176
e 100 371
e 101 150
e 101 145
e 101 475
e 102 369
e 102 427
e 102 368
e 103 214
e 103 333
e 103 149
e 104 408
e 104 419
e 105 369
e 105 110
e 105 289
e 106 328
e 106 473
e 106 167

e 108 270
e 108 477
e 109 271
e 110 383
e 111 179
e 112 425
e 112 272
e 113 375
e 113 482
e 114 460
e 114 242
e 115 391
e 115 420
e 115 284
e 116 397
e 116 161
e 117 247
e 117 434
e 117 341
e 118 488
e 118 313
e 118 187
e 119 281
e 119 271
e 119 212
e 120 175
e 120 169
e 120 292
e 121 291
e 121 147
e 122 424
e 122 275
e 122 289
e 123 260
e 123 309
e 124 483
e 124 412
e 125 281
e 125 189
e 125 297
e 126 395
e 126 498
e 127 435
e 127 459
e 128 175
e 128 169
e 128 241
e 129 441
e 130 405
e 130 416
e 130 461
e 131 310
e 131 177
e 131 268
e 132 445
e 132 241
e 132 422
e 133 477
e 133 419
e 133 245
e 134 267
e 134 205
e 134 186
e 135 457
e 136 495
e 136 231
e 137 240
e 137 161
e 138 439
e 138 401
e 139 505
e 139 268
e 139 257
e 140 486
e 140 335
e 140 273
e 141 341
e 141 495
e 142 344
e 142 298
e 143 472
e 143 362
e 143 432
e 144 482
e 144 391
e 145 444
e 146 419
e 146 367
e 146 270
e 147 259
e 147 464

e 149 489
e 149 206
e 150 290
e 150 287
e 151 323
e 151 452
e 151 324
e 152 262
e 152 426
e 152 366
e 153 223
e 153 235
e 153 387
e 154 465
e 154 493
e 154 453
e 155 430
e 155 348
e 156 316
e 156 215
e 156 375
e 157 476
e 157 306
e 157 450
e 158 489
e 158 366
e 158 206
e 159 201
e 159 309

e 161 418
e 162 190
e 162 410
e 162 254
e 163 367
e 163 226
e 163 509
e 164 462
e 164 177
e 164 426
e 165 358
e 165 237
e 165 187
e 166 451
e 166 191
e 167 459
e 167 435
e 168 266
e 168 396


e 171 456
e 172 348
e 172 474
e 172 216
e 173 447
e 173 181
e 173 388
e 174 251
e 174 285
e 174 370
e 175 292

e 177 253
e 178 374
e 178 452
e 178 411
e 179 251
e 179 298
e 180 367

e 182 210
e 183 338
e 183 299
e 183 399
e 184 292
e 184 468
e 184 213
e 185 435
e 185 453
e 185 308

e 187 341
e 188 204
e 189 437
e 190 252
e 191 362
e 192 373
e 192 257
e 192 343
e 193 451
e 193 362
e 193 210
e 194 485
e 194 396
e 194 479
e 195 320
e 195 350
e 195 201
e 196 414
e 196 408
e 197 238
e 197 329
e 197 246
e 198 377
e 198 276
e 198 376
e 199 242
e 199 270
e 199 312
e 200 282
e 200 338
e 201 277
e 202 507
e 202 499
e 203 278
e 204 331
e 205 319
e 205 294

e 207 499
e 207 244
e 208 486
e 208 332
e 208 388
e 209 384
e 209 494
e 209 376
e 210 502
e 211 413
e 211 416

e 213 422
e 213 392
e 214 499
e 215 243
e 216 234
e 216 497
e 217 283
e 217 469
e 217 385
e 218 345
e 218 370
e 218 226
e 219 285
e 219 265
e 220 316
e 220 504
e 221 490
e 221 404
e 221 398
e 222 361
e 222 349
e 222 470
e 223 357
e 223 241
e 224 503
e 224 225
e 225 433
e 225 402
e 226 503
e 227 489
e 227 257
e 227 423
e 228 258
e 228 501
e 228 366
e 229 282
e 229 401
e 229 409
e 230 262
e 230 275
e 230 293
e 231 350
e 231 374
e 232 373
e 233 262
e 233 385
e 234 430
e 235 392
e 235 488
e 236 280
e 236 289
e 236 510
e 237 381
e 238 356
e 238 246
e 239 505


e 242 322
e 243 428
e 243 430
e 244 494
e 245 509
e 245 265
e 246 421
e 247 269
e 247 288
e 248 253
e 248 268
e 249 402
e 249 377
e 250 449
e 251 302
e 252 356
e 252 458

e 254 412
e 254 267
e 255 364
e 255 327
e 255 336
e 256 364
e 256 342
e 256 414

e 258 441
e 258 507
e 259 386
e 260 372


e 263 444
e 263 474
e 263 351
e 264 405
e 264 314
e 264 413
e 265 511
e 266 469
e 266 484


e 269 339
e 269 327


e 272 317
e 273 388
e 273 335
e 274 428
e 274 297

e 276 496
e 277 491
e 277 358
e 278 303
e 279 384
e 279 328


e 282 439
e 283 479
e 283 424
e 284 411
e 284 463

e 286 401
e 286 475
e 286 403
e 287 295
e 287 440
e 288 326
e 288 449

e 290 455
e 290 394


e 293 330
e 293 369
e 294 425

e 296 506
e 296 468
e 296 392
e 297 411
e 298 481
e 299 409
e 300 492
e 300 399
e 300 478
e 301 337
e 301 333
e 301 512
e 302 511
e 303 450
e 303 425
e 304 458
e 304 421
e 304 329
e 305 507
e 305 501
e 305 508
e 306 487
e 307 409
e 307 338
e 307 314
e 308 493
e 308 381

e 310 429

e 312 317
e 312 361
e 313 445
e 313 387

e 315 461
e 315 467
e 315 492
e 316 444
e 317 364
e 318 470
e 318 503
e 318 342
e 319 321
e 319 365


e 322 477
e 323 324
e 323 350
e 324 449
e 325 484
e 326 336
e 327 470

e 329 446
e 330 441

e 332 486
e 332 504
e 333 337
e 334 421
e 334 365
e 334 370


e 337 355

e 339 484
e 339 473
e 340 371
e 340 363
e 340 352


e 343 505

e 345 448
e 345 406
e 346 442
e 346 407
e 346 501
e 347 397

e 349 460

e 351 403
e 352 363

e 354 386
e 355 393
e 355 415

e 357 468
e 357 422
e 358 454
e 359 420
e 359 398
e 359 380
e 360 462
e 360 508
e 360 385
e 361 460



e 365 436


e 368 371



e 372 471
e 372 389





e 378 395
e 378 465
e 378 433
e 379 445
e 379 387
e 379 488
e 380 463
e 380 420
e 381 434
e 382 467
e 382 464
e 383 485
e 383 390





e 389 471
e 390 485
e 390 407


e 393 415
e 393 508
e 394 447
e 394 466


e 397 400


e 400 456
e 400 476


e 403 500


e 406 458
e 407 442




e 412 502
e 413 478
e 414 496
e 415 502

e 417 479
e 417 442











e 429 512
e 429 500



e 433 465



e 437 438
e 438 490
e 438 447

e 440 455
e 440 466


e 443 456




e 448 496



e 452 491

e 454 506







e 462 510



e 466 500





e 472 490



















e 492 506




















