c Вес дерева 32769.0, самое длинное ребро = 412
p edge 512
e 343 426


e 346 407
e 346 390
e 347 397
e 347 418


e 350 389
e 350 374
e 351 430
e 351 502
e 352 510

e 354 464
e 354 386


e 357 379

e 359 380
e 359 420

e 361 400
e 361 414


e 364 376


e 367 419

e 369 371
e 370 419




e 375 455
e 375 440


e 378 465
e 378 493
e 378 427


e 381 434
e 382 467
e 382 386
e 383 442
e 384 448
e 384 406
e 385 407

e 387 488
e 387 454
e 387 434
e 388 457
e 388 486


e 391 420
e 392 434



e 396 485
e 396 427



e 400 431
e 401 474
e 401 409

e 403 500
e 403 512


e 406 448

e 408 503


e 411 452
e 412 487

e 414 511
e 414 477
e 415 502
e 415 431

e 417 479


e 420 463


e 423 464
e 423 462
e 423 426
e 424 442
e 424 479







e 432 448
e 432 494





e 438 471

e 440 486
e 441 501
e 441 462
e 441 442







e 449 463
e 449 453



e 453 506
e 453 465







e 461 467
e 461 475
e 461 497



e 465 484



e 469 484



e 473 484
e 473 479












e 486 497












e 499 508
e 499 501
e 499 510













