c Вес дерева 33271.0, самое длинное ребро = 838
p edge 512
e 297 326
e 298 436
e 298 443

e 300 409
e 300 307
e 301 355
e 301 393

e 303 362
e 304 334
e 304 446


e 307 439
e 308 453

e 310 462
e 310 360

e 312 317

e 314 413
e 314 478
e 315 439
e 316 466

e 318 361
e 318 460
e 318 364
e 319 511
e 319 436
e 319 321
e 320 471
e 320 372
e 320 389


e 323 358


e 326 420
e 327 364
e 327 349
e 327 361



e 331 344
e 331 483
e 331 432

e 333 508
e 334 421
e 334 458


e 337 393
e 337 494
e 337 499
e 338 439
e 338 474
e 339 449
e 339 498
e 339 473
e 340 383
e 340 369
e 340 352


e 343 505

e 345 458
e 346 501
e 347 397
e 347 476




e 352 510




e 357 392
e 357 445
e 358 381
e 358 434



e 362 432


e 365 443
e 365 432
e 366 507
e 366 385


e 369 383




e 374 471
e 374 404


e 377 503
e 377 477
e 378 465
e 378 435
e 378 493
e 379 381
e 380 404

e 382 467

e 384 406
e 384 503
e 384 414

e 386 416
e 386 461
e 386 467
e 387 445
e 387 434
e 388 457

e 390 485
e 390 417

e 392 506
e 393 499
e 394 474
e 394 504
e 394 455
e 395 417

e 397 400

e 399 401
e 399 403
e 399 478



e 403 478


e 406 481
e 407 479
e 407 501


e 410 415
e 410 502

e 412 481
e 412 450

e 414 460
e 414 470











e 426 462
e 426 441



e 430 497
e 430 503




e 435 465

e 437 438
e 437 452
e 437 463


e 440 457
e 440 455
e 440 486
e 441 501







e 449 495



e 453 506

e 455 486




e 460 470
e 461 489
e 461 506







e 469 479
e 469 485
e 469 489











































